"date","new_confirmed","new_deaths","ma_conf","ma_deaths"
2020-02-25,1,0,NA,NA
2020-02-26,0,0,NA,NA
2020-02-27,0,0,NA,NA
2020-02-28,1,0,NA,NA
2020-02-29,0,0,NA,NA
2020-03-01,0,0,NA,NA
2020-03-02,0,0,0.285714285714286,0
2020-03-03,0,0,0.142857142857143,0
2020-03-04,1,0,0.285714285714286,0
2020-03-05,5,0,1,0
2020-03-06,6,0,1.71428571428571,0
2020-03-07,5,0,2.42857142857143,0
2020-03-08,6,0,3.28571428571429,0
2020-03-09,0,0,3.28571428571429,0
2020-03-10,4,0,3.85714285714286,0
2020-03-11,14,0,5.71428571428571,0
2020-03-12,46,0,11.5714285714286,0
2020-03-13,7,0,11.7142857142857,0
2020-03-14,40,0,16.7142857142857,0
2020-03-15,19,0,18.5714285714286,0
2020-03-16,125,0,36.4285714285714,0
2020-03-17,47,1,42.5714285714286,0.142857142857143
2020-03-18,187,2,67.2857142857143,0.428571428571429
2020-03-19,128,4,79,1
2020-03-20,288,4,119.142857142857,1.57142857142857
2020-03-21,202,7,142.285714285714,2.57142857142857
2020-03-22,462,7,205.571428571429,3.57142857142857
2020-03-23,358,9,238.857142857143,4.85714285714286
2020-03-24,303,13,275.428571428571,6.57142857142857
2020-03-25,310,12,293,8
2020-03-26,422,18,335,10
2020-03-27,489,16,363.714285714286,11.7142857142857
2020-03-28,477,22,403,13.8571428571429
2020-03-29,355,24,387.714285714286,16.2857142857143
2020-03-30,352,27,386.857142857143,18.8571428571429
2020-03-31,1164,36,509.857142857143,22.1428571428571
2020-04-01,1107,42,623.714285714286,26.4285714285714
2020-04-02,1167,61,730.142857142857,32.5714285714286
2020-04-03,1114,60,819.428571428571,38.8571428571429
2020-04-04,1169,80,918.285714285714,47.1428571428571
2020-04-05,1040,51,1016.14285714286,51
2020-04-06,840,73,1085.85714285714,57.5714285714286
2020-04-07,1821,122,1179.71428571429,69.8571428571429
2020-04-08,2173,135,1332,83.1428571428571
2020-04-09,1921,133,1439.71428571429,93.4285714285714
2020-04-10,1761,114,1532.14285714286,101.142857142857
2020-04-11,1054,68,1515.71428571429,99.4285714285714
2020-04-12,1465,96,1576.42857142857,105.857142857143
2020-04-13,1401,113,1656.57142857143,111.571428571429
2020-04-14,1918,207,1670.42857142857,123.714285714286
2020-04-15,3243,203,1823.28571428571,133.428571428571
2020-04-16,2083,202,1846.42857142857,143.285714285714
2020-04-17,3296,211,2065.71428571429,157.142857142857
2020-04-18,2778,202,2312,176.285714285714
2020-04-19,1930,116,2378.42857142857,179.142857142857
2020-04-20,1816,107,2437.71428571429,178.285714285714
2020-04-21,2723,174,2552.71428571429,173.571428571429
2020-04-22,2779,168,2486.42857142857,168.571428571429
2020-04-23,3873,409,2742.14285714286,198.142857142857
2020-04-24,3913,373,2830.28571428571,221.285714285714
2020-04-25,5297,352,3190.14285714286,242.714285714286
2020-04-26,3715,227,3445.14285714286,258.571428571429
2020-04-27,4145,305,3777.85714285714,286.857142857143
2020-04-28,6234,486,4279.42857142857,331.428571428571
2020-04-29,6114,442,4755.85714285714,370.571428571429
2020-04-30,7412,446,5261.42857142857,375.857142857143
2020-05-01,5456,458,5481.85714285714,388
2020-05-02,4997,372,5439,390.857142857143
2020-05-03,4237,263,5513.57142857143,396
2020-05-04,6961,308,5915.85714285714,396.428571428571
2020-05-05,7635,591,6116,411.428571428571
2020-05-06,10545,625,6749,437.571428571429
2020-05-07,9732,676,7080.42857142857,470.428571428571
2020-05-08,10404,754,7787.28571428571,512.714285714286
2020-05-09,10155,668,8524.14285714286,555
2020-05-10,6261,477,8813.28571428571,585.571428571429
2020-05-11,6224,487,8708,611.142857142857
2020-05-12,9612,844,8990.42857142857,647.285714285714
2020-05-13,11693,778,9154.42857142857,669.142857142857
2020-05-14,14134,789,9783.28571428571,685.285714285714
2020-05-15,15447,913,10503.7142857143,708
2020-05-16,14059,719,11061.4285714286,715.285714285714
2020-05-17,7664,499,11261.8571428571,718.428571428571
2020-05-18,14559,724,12452.5714285714,752.285714285714
2020-05-19,17490,1148,13578,795.714285714286
2020-05-20,20153,985,14786.5714285714,825.285714285714
2020-05-21,17898,1051,15324.2857142857,862.714285714286
2020-05-22,22115,1039,16276.8571428571,880.714285714286
2020-05-23,17004,1048,16697.5714285714,927.714285714286
2020-05-24,14471,667,17670,951.714285714286
2020-05-25,12807,727,17419.7142857143,952.142857142857
2020-05-26,16327,1052,17253.5714285714,938.428571428571
2020-05-27,20200,1063,17260.2857142857,949.571428571429
2020-05-28,28337,1190,18751.5714285714,969.428571428571
2020-05-29,26890,1137,19433.7142857143,983.428571428571
2020-05-30,32320,863,21621.7142857143,957
2020-05-31,13181,472,21437.4285714286,929.142857142857
2020-06-01,14962,738,21745.2857142857,930.714285714286
2020-06-02,31907,1368,23971,975.857142857143
2020-06-03,26085,1194,24811.7142857143,994.571428571429
2020-06-04,31952,1485,25328.1428571429,1036.71428571429
2020-06-05,32103,1101,26072.8571428571,1031.57142857143
2020-06-06,23790,801,24854.2857142857,1022.71428571429
2020-06-07,17987,476,25540.8571428571,1023.28571428571
2020-06-08,17337,863,25880.1428571429,1041.14285714286
2020-06-09,31700,1193,25850.5714285714,1016.14285714286
2020-06-10,33790,1238,26951.2857142857,1022.42857142857
2020-06-11,28686,1268,26484.7142857143,991.428571428571
2020-06-12,24288,843,25368.2857142857,954.571428571429
2020-06-13,21098,857,24983.7142857143,962.571428571429
2020-06-14,16925,634,24832,985.142857142857
2020-06-15,24581,764,25866.8571428571,971
2020-06-16,37019,1332,26626.7142857143,990.857142857143
2020-06-17,30925,1185,26217.4285714286,983.285714285714
2020-06-18,25120,1239,25708,979.142857142857
2020-06-19,56112,1172,30254.2857142857,1026.14285714286
2020-06-20,28876,982,31365.4285714286,1044
2020-06-21,16570,609,31314.7142857143,1040.42857142857
2020-06-22,26509,735,31590.1428571429,1036.28571428571
2020-06-23,39566,1407,31954,1047
2020-06-24,41042,1104,33399.2857142857,1035.42857142857
2020-06-25,41722,1180,35771,1027
2020-06-26,44885,993,34167.1428571429,1001.42857142857
2020-06-27,36920,1031,35316.2857142857,1008.42857142857
2020-06-28,32850,583,37642,1004.71428571429
2020-06-29,21582,731,36938.1428571429,1004.14285714286
2020-06-30,39681,1318,36954.5714285714,991.428571428571
2020-07-01,46825,1086,37780.7142857143,988.857142857143
2020-07-02,44401,1259,38163.4285714286,1000.14285714286
2020-07-03,42854,1213,37873.2857142857,1031.57142857143
2020-07-04,33297,1061,37355.7142857143,1035.85714285714
2020-07-05,25648,555,36326.8571428571,1031.85714285714
2020-07-06,24458,686,36737.7142857143,1025.42857142857
2020-07-07,46694,1301,37739.5714285714,1023
2020-07-08,45252,1174,37514.8571428571,1035.57142857143
2020-07-09,42962,1221,37309.2857142857,1030.14285714286
2020-07-10,44311,1299,37517.4285714286,1042.42857142857
2020-07-11,34947,932,37753.1428571429,1024
2020-07-12,23658,617,37468.8571428571,1032.85714285714
2020-07-13,22893,835,37245.2857142857,1054.14285714286
2020-07-14,42922,1294,36706.4285714286,1053.14285714286
2020-07-15,40142,1278,35976.4285714286,1068
2020-07-16,43683,1300,36079.4285714286,1079.28571428571
2020-07-17,34618,1124,34694.7142857143,1054.28571428571
2020-07-18,25726,844,33377.4285714286,1041.71428571429
2020-07-19,23439,708,33346.1428571429,1054.71428571429
2020-07-20,22753,768,33326.1428571429,1045.14285714286
2020-07-21,46932,1317,33899,1048.42857142857
2020-07-22,66150,1296,37614.4285714286,1051
2020-07-23,57326,1313,39563.4285714286,1052.85714285714
2020-07-24,56903,1165,42747,1058.71428571429
2020-07-25,47535,1099,45862.5714285714,1095.14285714286
2020-07-26,21046,581,45520.7142857143,1077
2020-07-27,29638,685,46504.2857142857,1065.14285714286
2020-07-28,54004,1235,47514.5714285714,1053.42857142857
2020-07-29,55451,1222,45986.1428571429,1042.85714285714
2020-07-30,58055,1202,46090.2857142857,1027
2020-07-31,53264,1266,45570.4285714286,1041.42857142857
2020-08-01,41541,941,44714.1428571429,1018.85714285714
2020-08-02,24066,525,45145.5714285714,1010.85714285714
2020-08-03,20106,601,43783.8571428571,998.857142857143
2020-08-04,56282,1358,44109.2857142857,1016.42857142857
2020-08-05,56138,1367,44207.4285714286,1037.14285714286
2020-08-06,54020,1225,43631,1040.42857142857
2020-08-07,48966,1086,43017,1014.71428571429
2020-08-08,46827,818,43772.1428571429,997.142857142857
2020-08-09,22730,578,43581.2857142857,1004.71428571429
2020-08-10,24946,783,44272.7142857143,1030.71428571429
2020-08-11,50929,1200,43508,1008.14285714286
2020-08-12,56105,1152,43503.2857142857,977.428571428571
2020-08-13,60713,1274,44459.4285714286,984.428571428571
2020-08-14,49279,1007,44504.1428571429,973.142857142857
2020-08-15,37009,722,43101.5714285714,959.428571428571
2020-08-16,22852,587,43119,960.714285714286
2020-08-17,24551,796,43062.5714285714,962.571428571429
2020-08-18,49264,1352,42824.7142857143,984.285714285714
2020-08-19,48603,1164,41753,986
2020-08-20,42974,1236,39218.8571428571,980.571428571429
2020-08-21,32326,1052,36797,987
2020-08-22,45908,827,38068.2857142857,1002
2020-08-23,21869,456,37927.8571428571,983.285714285714
2020-08-24,23517,717,37780.1428571429,972
2020-08-25,46307,1209,37357.7142857143,951.571428571429
2020-08-26,48152,1079,37293.2857142857,939.428571428571
2020-08-27,42260,985,37191.2857142857,903.571428571429
2020-08-28,44088,849,38871.5714285714,874.571428571429
2020-08-29,37291,897,37640.5714285714,884.571428571429
2020-08-30,14534,401,36592.7142857143,876.714285714286
2020-08-31,50225,647,40408.1428571429,866.714285714286
2020-09-01,44329,1150,40125.5714285714,858.285714285714
2020-09-02,46453,1204,39882.8571428571,876.142857142857
2020-09-03,46809,867,40532.7142857143,859.285714285714
2020-09-04,39262,849,39843.2857142857,859.285714285714
2020-09-05,34134,604,39392.2857142857,817.428571428571
2020-09-06,14339,444,39364.4285714286,823.571428571429
2020-09-07,9849,334,33596.4285714286,778.857142857143
